last_name,first_name,full_name,party,state,edu_college,edu_med,edu_law,edu_masters,edu_doctorate,work_bluecollar,work_business,work_education,work_farming,work_lawenforcement,work_lobbying,work_media,work_medicine,work_military,work_nonprofits,work_privatelaw,work_realestate,work_religiousleader,work_science,work_sports,gov_fedstate,gov_local,gov_none,gov_publiclawyerjudge,gov_stateleg
Finkenauer,Abby,Abby Finkenauer,Democrat,IA,private,,,,,,,,,,,,,,,,,,,,,,,,1
Spanberger,Abigail,Abigail Spanberger,Democrat,VA,public,,,1,,,1,,,1,,,,,,,,,,,,,1,,
Kinzinger,Adam,Adam Kinzinger,,IL,public,,,,,,1,,,,,,,1,,,,,,,,1,,,
Schiff,Adam,Adam Schiff,,CA,elite,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Smith,Adam,Adam Smith,,WA,private,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Smith,Adrian,Adrian Smith,,NE,public,,,,,,1,1,,,,,,,,,,,,,,1,,,1
Espaillat,Adriano,Adriano Espaillat,,NY,public,,,,,,,,,,,,,,1,,,,,,,,,,1
Green,Al,Al Green,,TX,none,,1,,,,,,,,1,,,,,1,,,,,,,,1,
Lawson,Al,Al Lawson,,FL,public,,,1,,,1,,,,,,,,,,,,,1,,,,,1
Lowenthal,Alan,Alan Lowenthal,,CA,private,,,1,1,,,1,,,,,1,,,,,,,,,1,,,1
Sires,Albio,Albio Sires,,NJ,private,,,1,,,,1,,,,,,,,,,,,,,1,,,1
Hastings,Alcee L.,Alcee L. Hastings,,FL,private,,1,,,,,,,,,,,,,1,,,,,,,,1,
Mooney,Alex,Alex Mooney,,WV,elite,,,,,,1,,,,,,,,1,,,,,,,,,,1
Ocasio-Cortez,Alexandria,Alexandria Ocasio-Cortez,Democrat,NY,private,,,,,1,,,,,,,,,1,,,,,,,,1,,
Adams,Alma,Alma Adams,,NC,public,,,1,1,,,1,,,,,,,,,,,,,,1,,,1
Bera,Ami,Ami Bera,,CA,public,1,,,,,,1,,,,,1,,,,,,,,,1,,,
Carson,André,André Carson,,IN,private,,,1,,,1,,,,,,,,,,,,,,,1,,,
Barr,Andy,Andy Barr,Republican,KY,public,,1,,,,,,,,,,,,,1,,,,,,,1,,
Biggs,Andy ,Andy Biggs,,AZ,private,,1,1,,,,,,,,,,,,1,,,,,,,,,1
Harris,Andy,Andy Harris,,MD,private,1,,1,,,,,,,,,1,1,,,,,,,,,,,1
Kim,Andy,Andy Kim,Democrat,NJ,elite,,,1,1,,,,,,,,,,,,,,,,1,,,,
Levin,Andy,Andy Levin,Democrat,MI,private,,1,1,,,1,,,,,,,,1,,,,,,1,,,,
Craig,Angie,Angie Craig,Democrat,MN,public,,,,,,1,,,,,,1,,,,,,,,,,1,,
Kirkpatrick,Ann ,Ann Kirkpatrick,Democrat,AZ,public,,1,,,,,1,,,,,,,,1,,,,,,,,1,1
Kuster,Ann McLane,Ann McLane Kuster,,NH,elite,,1,,,,1,,,,1,,,,,1,,,,,,,1,,
Wagner,Ann,Ann Wagner,,MO,public,,,,,,1,,,,,,,,,,,,,,1,1,,,
Eshoo,Anna,Anna Eshoo,,CA,none,,,,,,,,,,,,,,,,,,,,,1,,,
Brindisi,Anthony,Anthony Brindisi,Democrat,NY,private,,1,,,,,,,,,,,,,1,,,,,,1,,,1
Brown,Anthony G.,Anthony G. Brown,,MD,elite,,1,,,,,,,,,,,1,,1,,,,,1,,,,1
Gonzalez,Anthony,Anthony Gonzalez,Republican,OH,public,,,1,,,1,,,,,,,,,,,,,1,,,1,,
Delgado,Antonio,Antonio Delgado,Democrat,NY,private,,1,1,,,1,,,,,,,,,1,,,,,,,1,,
Scott,Austin,Austin Scott,,GA,public,,,,,,,,,,,,,,,,,,,,,,,,1
Pressley,Ayanna,Ayanna Pressley,Democrat,MA,none,,,,,,,,,,,,,,,,,,,,,1,,,
Lee,Barbara,Barbara Lee,,CA,private,,,1,,,,,,,,,,,,,,,,,,,,,1
Loudermilk,Barry,Barry Loudermilk,,GA,private,,,,,,1,,,,,,,1,,,,,,,,,,,1
Cline,Ben,Ben Cline,Republican,VA,private,,1,,,,1,,,,,,,,,1,,,,,,,,1,1
McAdams,Ben,Ben McAdams,Democrat,UT,public,,1,,,,,,,,,,,,,1,,,,,,1,,,1
Luján,Ben Ray,Ben Ray Luján,,NM,public,,,,,,,,,,,,,,,,,,,,1,,,,
Thompson,Bennie G.,Bennie G. Thompson,,MS,private,,,1,,,,1,,,,,,,,,,,,,,1,,,
McCollum,Betty,Betty McCollum,,MN,private,,,,,1,,1,,,,,,,,,,,,,,1,,,1
Flores,Bill,Bill Flores,,TX,public,,,1,,,1,,,,,,,,,,,,,,,,1,,
Foster,Bill,Bill Foster,,IL,public,,,,1,,1,,,,,,,,,,,,1,,,,1,,
Huizenga,Bill,Bill Huizenga,,MI,private,,,,,,1,,,,,,,,,,1,,,,,,,,1
Johnson,Bill,Bill Johnson,,OH,public,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Keating,Bill,Bill Keating,,MA,private,,1,1,,,,,,,,,,,,,,,,,,,,1,1
Pascrell Jr.,Bill,Bill Pascrell Jr.,,NJ,private,,,1,,,,1,,,,,,1,,,,,,,,1,,,1
Posey,Bill,Bill Posey,,FL,none,,,,,,,,,,,,,,,,1,,,,,1,,,1
Long,Billy,Billy Long,,MO,none,,,,,,1,,,,,1,,,,,1,,,,,,1,,
Luetkemeyer,Blaine,Blaine Luetkemeyer,,MO,public,,,,,,,,1,,,,,,,,,,,,1,1,,,1
Gibbs,Bob,Bob Gibbs,,OH,none,,,,,,1,,1,,,,,,,,,,,,,,,,1
Rush,Bobby L.,Bobby L. Rush,,IL,private,,,1,,,,,,,1,,,1,,,,1,,,,1,,,
Scott,Bobby,Bobby Scott,,VA,elite,,1,,,,,,,,,,,1,,1,,,,,,,,,1
Watson Coleman,Bonnie,Bonnie Watson Coleman,,NJ,public,,,,,,,,,,,,,,,,,,,,1,,,,1
Schneider,Brad,Brad Schneider,,IL,private,,,1,,,1,,,,,,,,,,,,,,,,1,,
Sherman,Brad,Brad Sherman,,CA,public,,1,,,,,,,,,,,,,1,,,,,1,,,,
Wenstrup,Brad,Brad Wenstrup,,OH,public,1,,,,,,,,,,,1,1,,,,,,,,,1,,
Byrne,Bradley ,Bradley Byrne,,AL,elite,,1,,,,,,,,,,,,,1,,,,,1,,,,1
Lawrence,Brenda,Brenda Lawrence,,MI,public,,,,,1,1,,,,,,,,,,,,,,,1,,,
Boyle,Brendan F.,Brendan F. Boyle,,PA,private,,,1,,,1,,,,,1,,,,,,,,,,,,,1
Guthrie,Brett,Brett Guthrie,,KY,public,,,1,,,1,,,,,,,1,,,,,,,,,,,1
Babin,Brian,Brian Babin,,TX,public,1,,,,,,,,,,,1,1,,,,,,,1,1,,,
Fitzpatrick,Brian,Brian Fitzpatrick,,PA,private,,1,1,,,,,,1,,,,,,1,,,,,,,,1,
Higgins,Brian,Brian Higgins,,NY,public,,,1,,,,1,,,,,,,,,,,,,,1,,,1
Mast,Brian,Brian Mast,,FL,private,,,,,,,,,1,,,,1,,,,,,,,,1,,
Westerman,Bruce ,Bruce Westerman,,AR,public,,,1,,,,,,,,,,,,,,,1,,,1,,,1
Stell,Bryan,Bryan Stell,Republican,WI,private,,1,,,,,,,,,,,,,1,,,,,1,,,,
Ruppersberger,C. A. Dutch,C. A. Dutch Ruppersberger,,MD,none,,1,,,,,,,,,,,,,1,,,,,,1,,1,
Miller,Carol,Carol Miller,Republican,WV,private,,,,,,,,1,,,,,,,,1,,,,,,,,1
Maloney,Carolyn B.,Carolyn B. Maloney,,NY,private,,,,,,,1,,,,,,,,,,,,,,1,,,
McMorris Rodgers,Cathy,Cathy McMorris Rodgers,,WA,private,,,1,,,1,,,,,,,,,,,,,,,,,,1
Richmond,Cedric L.,Cedric L. Richmond,,LA,private,,1,,,,,,,,,,,,,,,,,,,,,,1
Crist,Charlie,Charlie Crist,,FL,public,,1,,,,,,,,,,,,,1,,,,,1,,,1,1
Pingree,Chellie,Chellie Pingree,,ME,private,,,,,,1,,1,,,,,,,,,,,,,1,,,1
Bustos,Cheri,Cheri Bustos,,IL,public,,,1,,,1,,,,,1,,,,,,,,,,1,,,
Roy,Chip,Chip Roy,Republican,TX,public,,1,1,,,1,,,,,,,,,,,,,,,,,1,
Collins,Chris,Chris Collins,,NY,public,,,1,,,1,,,,,,,,,,,,,,,1,,,
Pappas,Chris,Chris Pappas,Democrat,NH,elite,,,,,,1,,,,,,,,,,,,,,1,1,,,1
Stewart,Chris,Chris Stewart,,UT,public,,,,,,1,,,,,1,,1,,,,,,,,,1,,
Houlahan,Chrissy,Chrissy Houlahan,Democrat,PA,elite,,,1,,,1,1,,,,,,1,1,,,,,,,,1,,
Smith,Christopher H.,Christopher H. Smith,,NJ,public,,,,,,1,,,,,,,,1,,,,,,,,1,,
Fleischmann,Chuck,Chuck Fleischmann,,TN,public,,1,,,,,,,,,,,,,1,,,,,,,1,,
Axne,Cindy,Cindy Axne,Democrat,IA,public,,,1,,,1,,,,,,,,,,,,,,1,,,,
Higgins,Clay,Clay Higgins,,LA,none,,,,,,1,,,1,,,,1,,,,,,,,,1,,
Allred,Colin,Colin Allred,Democrat,TX,private,,1,,,,,,,,,,,,,1,,,,1,1,,,,
Peterson,Collin C.,Collin C. Peterson,,MN,public,,,,,,,,,,,,,1,,,,,,,,,,,1
Lamb,Conor,Conor Lamb,Democrat,PA,elite,,1,,,,,,,,,,,1,,,,,,,,,,1,
Crenshaw,Dan,Dan Crenshaw,Republican,TX,private,,,1,,,,,,,,,,1,,,,,,,,,1,,
Meuser,Dan,Dan Meuser,Republican,PA,elite,,,,,,1,,,,,,,,,,,,,,1,,,,
Newhouse,Dan,Dan Newhouse,,WA,public,,,,,,,,1,,,,,,,,,,,,1,,,,1
Lipinski,Daniel,Daniel Lipinski,,IL,private,,,1,1,,,1,,,,,,,,,,,,,,,1,,
Kildee,Daniel T.,Daniel T. Kildee,,MI,public,,,,,,,,,,,,,,1,,,,,,,1,,,
Webster,Daniel,Daniel Webster,,FL,public,,,,,,1,,,,,,,,,,,,,,,,,,1
Davis,Danny K.,Danny K. Davis,,IL,public,,,1,1,1,,1,,,,,,,1,,,,,,,1,,,
LaHood,Darin,Darin LaHood,,IL,private,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Soto,Darren,Darren Soto,,FL,public,,1,,,,,,,,,,,,,1,,,,,,1,,,1
McKinley,David B.,David B. McKinley,,WV,public,,,,,,1,,,,,,,,,,,,1,,,,,,1
Price,David E.,David E. Price,,NC,public,,,,1,,,1,,,,,,,,,,,,,,,1,,
Joyce,David,David Joyce,,OH,private,,1,,,,,,,,,,,,,,,,,,,,,1,
Kustoff,David,David Kustoff,,TN,public,,1,,,,,,,,,,,,,1,,,,,1,,,1,
Loebsack,David,David Loebsack,,IA,public,,,1,1,,,1,,,,,,,,,,,,,,,1,,
Cicilline,David N.,David N. Cicilline,,RI,elite,,1,,,,,,,,,,,,,1,,,,,,1,,1,1
Rouzer,David,David Rouzer,,NC,public,,,,,,1,,,,,,,,,,,,,,,,,,1
Schweikert,David ,David Schweikert,,AZ,public,,,1,,,1,,,,,,,,,,1,,,,1,1,,,1
Scott,David,David Scott,,GA,public,,,1,,,1,,,,,,,,,,,,,,,,,,1
Trone,David,David Trone,Democrat,MD,private,,,1,,,1,,,,,,,,,,,,,,,,1,,
Phillips,Dean,Dean Phillips,Democrat,MN,elite,,,1,,,1,,,,,,,,,,,,,,,,1,,
Haaland,Deb,Deb Haaland,Democrat,NM,public,,1,,,,1,,,,,,,,,,,,,,,1,,,
Dingell,Debbie,Debbie Dingell,,MI,private,,,1,,,1,,,,1,,,,1,,,,,,,1,,,
Lesko,Debbie ,Debbie Lesko,Republican,AZ,public,,,,,,1,,,,,,,,,,,,,,,,,,1
Mucarsel-Powell,Debbie,Debbie Mucarsel-Powell,Democrat,FL,private,,,1,,,1,1,,,,,,,1,,,,,,,,1,,
Wasserman Schultz,Debbie,Debbie Wasserman Schultz,,FL,public,,,1,,,,,,,,,,,,,,,,,,,,,1
Heck,Denny,Denny Heck,,WA,public,,,,,,1,,,,,1,,,,,,,,,,,,,1
Riggleman,Denver,Denver Riggleman,Republican,VA,public,,,,,,1,,,1,,,,1,,,,,,,,,1,,
Kilmer,Derek,Derek Kilmer,,WA,elite,,,,1,,1,,,,,,,,1,,,,,,,,,,1
Nunes,Devin,Devin Nunes,,CA,public,,,1,,,1,,1,,,,,,,,,,,,,1,,,
DeGette,Diana,Diana DeGette,,CO,private,,1,,,,,,,,,,,,,1,,,,,,,,,1
Titus,Dina,Dina Titus,,NV,public,,,1,1,,,1,,,,,,,,,,,,,,,,,1
Bacon,Don,Don Bacon,,NE,public,,,1,,,,1,,,,,,1,,,,,,,,,1,,
Beyer Jr.,Don,Don Beyer Jr.,,VA,private,,,,,,1,,,,,,,,,,,,,,1,,,,
Young,Don ,Don Young,,AK,public,,,,,1,,,,,,,,1,,,,,,,,1,,,1
Payne Jr.,Donald M.,Donald M. Payne Jr.,,NJ,none,,,,,1,1,,,,,,,,,,,,,,,1,,,
McEachin,Donald,Donald McEachin,,VA,private,,1,1,,,,,,,,,,,,1,,,,,,,,,1
Norcross,Donald,Donald Norcross,,NJ,none,,,,,1,,,,,,,,,1,,,,,,,,,,1
Shalala,Donna,Donna Shalala,Democrat,FL,private,,,1,1,,,1,,,,,,,1,,,,,,1,,,,
Matsui,Doris O.,Doris O. Matsui,,CA,public,,,,,,,,,,1,,,,,,,,,,,,1,,
Collins,Doug,Doug Collins,,GA,public,,1,1,,,1,,,,,,,1,,1,,1,,,,,,,1
LaMalfa,Doug,Doug LaMalfa,,CA,public,,,,,,,,1,,,,,,,,,,,,,,,,1
Lamborn,Doug,Doug Lamborn,,CO,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Ferguson IV,Drew,Drew Ferguson IV,,GA,none,1,,,,,,1,,,,,1,,,,,,,,1,1,,,
Hunter,Duncan,Duncan Hunter,,CA,public,,,,,,1,,,,,,,1,,,1,,,,,,1,,
Johnson,Dusty,Dusty Johnson,Republican,SD,public,,,1,,,1,,,,,,,,,,,,,,1,,,,
Evans,Dwight,Dwight Evans,,PA,private,,,,,,,1,,,,,,,1,,,,,,,,,,1
Blumenauer,Earl,Earl Blumenauer,,OR,private,,1,,,,,,,,,,,,,,,,,,1,1,,,1
Carter,Earl L.,Earl L. Carter,Republican,GA,public,,,,,,1,,,,,,,,,,,,,,,1,,,1
Case,Ed,Ed Case,Democrat,HI,private,,1,,,,,,,,,,,,,1,,,,,,1,,,1
Perlmutter,Ed,Ed Perlmutter,,CO,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Johnson,Eddie Bernice,Eddie Bernice Johnson,Democrat,TX,private,,,1,,,1,,,,,,1,,,,,,,,,,,,1
Luria,Elaine,Elaine Luria,Democrat,VA,public,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Cummings,Elijah E.,Elijah E. Cummings,,MD,private,,1,,,,,,,,,,,,,1,,,,,,,,,1
Engel,Eliot L.,Eliot L. Engel,,NY,public,,1,1,,,,1,,,,,,,,,,,,,,,,,1
Stefanik,Elise M.,Elise M. Stefanik,,NY,elite,,,,,,1,,,,,,,,,,,,,,,,1,,
Slotkin,Elissa,Elissa Slotkin,Democrat,MI,elite,,,1,,,,,,1,,,,,1,,,,,,1,,,,
Cleaver,Emanuel,Emanuel Cleaver,,MO,public,,,1,,,,,,,,1,,,,,,1,,,,1,,,
Swalwell,Eric,Eric Swalwell,,CA,public,,1,,,,,,,,,,,,,,,,,,,1,,1,
Vela,Filemon,Filemon Vela,,TX,private,,1,,,,,,,,,,,,,1,,,,,,,1,,
Rooney,Francis,Francis Rooney,,FL,private,,1,,,,1,,,,,,,,,,,,,,1,,,,
Lucas,Frank D.,Frank D. Lucas,,OK,public,,,,,,,,1,,,,,,,,,,,,,,,,1
Pallone Jr.,Frank,Frank Pallone Jr.,,NJ,private,,1,1,,,,,,,,,,,,1,,,,,,1,,,1
Upton,Fred,Fred Upton,,MI,public,,,,,,,,,,,,,,,,,,,,,,1,,
Wilson,Frederica S.,Frederica S. Wilson,,FL,private,,,1,,,,1,,,,,,,,,,,,,,1,,,1
Hill,French ,French Hill,,AR,private,,,,,,1,,,,,,,,,,,,,,1,,,,
Butterfield,G. K.,G. K. Butterfield,,NC,public,,1,,,,,,,,,,,1,,1,,,,,,,,1,
Graves,Garret,Garret Graves,,LA,none,,,,,,,,,,,,,,,,,,,,1,,,,
Palmer,Gary ,Gary Palmer,,AL,public,,,,,,,,,,1,,,,,,,,1,,,,1,,
Holding,George,George Holding,,NC,private,,1,,,,,,,,,,,,,1,,,,,,,,1,
Connolly,Gerry,Gerry Connolly,,VA,private,,,1,,,1,,,,,,,,1,,,,,,,1,,,
Cisneros,Gil,Gil Cisneros,Democrat,CA,private,,,1,,,1,,,,,,,1,1,,,,,,,,1,,
Grothman,Glenn,Glenn Grothman,,WI,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Thompson,Glenn,Glenn Thompson,,PA,public,,,1,,,,,,,,,1,,,,,,,,,1,,,
Napolitano,Grace F.,Grace F. Napolitano,,CA,none,,,,,1,,,,,,,,,,,,,,,,1,,,1
Meng,Grace,Grace Meng,,NY,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Gianforte,Greg,Greg Gianforte,,MT,private,,,1,,,1,,,,,,,,,,,,1,,,,1,,
Pence,Greg,Greg Pence,Republican,IN,private,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Stanton,Greg ,Greg Stanton,Democrat,AZ,private,,1,,,,,,,,,,,,,,,,,,,1,,1,
Steube,Greg,Greg Steube,Republican,FL,public,,1,,,,,,,,,,,1,,1,,,,,,,,,1
Walden,Greg,Greg Walden,,OR,public,,,,,,,,,,,1,,,,,,,,,,,,,1
Meeks,Gregory W.,Gregory W. Meeks,,NY,private,,1,,,,,,,,,,,,,,,,,,,,,1,1
Bilirakis,Gus M.,Gus M. Bilirakis,,FL,public,,1,,,,,1,,,,,,,,1,,,,,,,,,1
Reschenthaler,Guy,Guy Reschenthaler,Republican,PA,public,,1,,,,,,,,,,,1,,1,,,,,,,,1,1
Moore,Gwen,Gwen Moore,,WI,private,,,,,,,,,,,,,,1,,,,,,,,,,1
Jeffries,Hakeem,Hakeem Jeffries,,NY,public,,1,1,,,,,,,,,,,,1,,,,,,,,,1
Stevens,Haley,Haley Stevens,Democrat,MI,private,,,1,,,1,,,,,,,,,,,,,,,,1,,
Johnson,Hank,Hank Johnson,Democrat,GA,private,,1,,,,,,,,,,,,,1,,,,,,1,,1,
Rouda,Harley,Harley Rouda,Democrat,CA,public,,1,1,,,1,,,,,,,,,1,1,,,,,,1,,
Rogers,Harold,Harold Rogers,,KY,public,,1,,,,,,,,,,,1,,1,,,,,,,,1,
Cuellar,Henry,Henry Cuellar,,TX,private,,1,1,1,,1,,,,,,,,,1,,,,,1,,,,1
Omar,Ilhan,Ilhan Omar,Democrat,MN,public,,,,,,,1,,,,,,,1,,,,,,,,,,1
Bergman,Jack,Jack Bergman,,MI,private,,,1,,,1,,,,,,,1,,,,,,,1,,,,
Speier,Jackie,Jackie Speier,,CA,public,,1,,,,1,,,,,,,,1,1,,,,,,1,,,1
Walorski,Jackie,Jackie Walorski,,IN,private,,,,,,,,,,,1,,,1,,,,,,,,,,1
Hayes,Jahana,Jahana Hayes,Democrat,CT,public,,,1,,,,1,,,,,,,,,,,,,,,1,,
Herrera Beutler,Jaime,Jaime Herrera Beutler,,WA,public,,,,,,,,,,,,,,,,,,,,,,,,1
Comer,James,James Comer,,KY,public,,,,,,1,,1,,,,,,,,,,,,1,,,,1
Clyburn,James E.,James E. Clyburn,,SC,public,,,,,,,1,,,,,,,,,,,,,1,,,,
Raskin,Jamie,Jamie Raskin,,MD,elite,,1,,,,,1,,,,,,,,,,,,,1,,,1,1
Schakowsky,Jan,Jan Schakowsky,,IL,public,,,,,,,1,,,1,,,,,,,,,,,,,,1
Golden,Jared,Jared Golden,Democrat,ME,private,,,,,,1,,,,,,,1,,,,,,,,,,,1
Huffman,Jared,Jared Huffman,,CA,public,,1,,,,,,,,,,,,1,1,,,,,,1,,,1
Crow,Jason,Jason Crow,Democrat,CO,public,,1,,,,,,,,,,,1,,1,,,,,,,1,,
Smith,Jason,Jason Smith,,MO,public,,1,,,,,,1,,,,,,,1,1,,,,,,,,1
Duncan,Jeff,Jeff Duncan,,SC,public,,,,,,,,,,,,,,,,1,,,,,,,,1
Fortenberry,Jeff,Jeff Fortenberry,,NE,public,,,1,,,,,,,,1,,,,,,,,,,1,,,
Drew,Jeff Van,Jeff Van Drew,Democrat,NJ,public,1,,,,,,,,,,,1,,,,,,,,,1,,,1
Wexton,Jennifer,Jennifer Wexton,Democrat,VA,public,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Nadler,Jerrold,Jerrold Nadler,,NY,elite,,1,,,,,,,,,,,,,,,,,,,,,,1
McNerney,Jerry,Jerry McNerney,,CA,public,,,1,1,,1,,,,,,,,,,,,1,,,,1,,
Garcia,Jésus,Jésus Garcia,Democrat,IL,public,,,1,,,,,,,,,,,1,,,,,,,1,,,1
Baird,Jim,Jim Baird,Republican,IN,public,,,1,1,,1,,1,,,,,1,,,,,,,,1,,,1
Banks,Jim,Jim Banks,,IN,public,,,1,,,,,,,,,,1,,,1,,,,,1,,,1
Cooper,Jim,Jim Cooper,,TN,public,,1,1,,,,,,,,,,,,1,,,,,,,1,,
Costa,Jim,Jim Costa,,CA,public,,,,,,,,1,,1,,,,,,,,,,,,,,1
Hagedorn,Jim,Jim Hagedorn,Republican,MN,private,,,,,,1,,,,,,,,,,,,,,,,1,,
Himes,Jim,Jim Himes,,CT,elite,,,1,,,,,,,,,,,1,,,,,,,1,,,
Jordan,Jim,Jim Jordan,,OH,public,,1,1,,,,,,,,,,,,1,,,,1,,,,,1
Langevin,Jim,Jim Langevin,,RI,public,,,1,,,,,,,,,,,,,,,,,1,,,,1
McGovern,Jim,Jim McGovern,,MA,private,,,1,,,,,,,,,,,,,,,,,,,1,,
Sensenbrenner,Jim,Jim Sensenbrenner,,WI,elite,,1,,,,,,,,,,,,,1,,,,,,,,,1
Gomez,Jimmy,Jimmy Gomez,Democrat,CA,public,,,1,,,,,,,,,,,1,,,,,,,,,,1
Panetta,Jimmy,Jimmy Panetta,,CA,public,,1,,,,,,,,,,,1,,,,,,,,,,1,
Castro,Joaquin,Joaquin Castro,,TX,elite,,1,,,,,,,,,,,,,1,,,,,,,,,1
Arrington,Jodey C.,Jodey C. Arrington,,TX,public,,,1,,,1,,,,,,,,,,,,,,,,1,,
Hice,Jody B.,Jody B. Hice,,GA,private,,,1,1,,,,,,,1,,,,,,1,,,,,1,,
Courtney,Joe,Joe Courtney,,CT,private,,1,,,,,,,,,,,,,1,,,,,,,,,1
